Frase,Intensidade
ei amarelo azul abraço gente mistura bonito nascer verde ver,Nenhuma
ei amarelo vermelho beijinho canja gente mistura bonito segredo nascer laranja,Nenhuma
ei azul vermelho abraço queijo gente mistura bonito nascer roxo encho beijo,Nenhuma
quintal,Nenhuma
sol verde tá parecer alien,Nenhuma
hora tinta amarela pegar tinta verde,Nenhuma
ideia,Nenhuma
ninguém chamar vir,Nenhuma
mariana lápis ganhar quanto lápis ter,Nenhuma
jardim haver borboleta chegar borboleta pequeno quanto borboleta,Nenhuma
sítio vovô haver pintinho nascer quanto pintinho sítio,Nenhuma
cachorrinho ter osso ganhar quanto osso,Nenhuma
lua comprar bala voltar comprar quanta bala lua,Nenhuma
matheu ganhar livro presente vovó mamãe quanto livro matheu ganhar,Nenhuma
semana passado ganhar estrelinha mural rotina semana ganhar quanto estrela,Nenhuma
pote biscoito ter biscoito coloquei quanto biscoito pote,Nenhuma
vídeo hoje aprender conta adição,Nenhuma
vídeo hoje ir precisar ajuda resolver probleminha matemática,Nenhuma
borboleta,Nenhuma
pintinhos sítio,Nenhuma
cachorrinho osso,Nenhuma
lua bala,Nenhuma
nuvem frente sol,Nenhuma
haver avião aeroporto de ele decolar quanto avião ficar,Nenhuma
guto ter bala comeu de ele quanto bala sobrar,Nenhuma
ana ganhar balão de ele estourar quanto balão ficar,Nenhuma
ana amiga parque de elas quanto amiga ficar ana,Nenhuma
Pedro ter lápis estojo perder de ele quanto lápis restar,Nenhuma
macieira ter maçãs cair de ele quanta maçãs ficar árvore,Nenhuma
júlia ter real gastar real mercado quanto real sobrarar,Nenhuma
coelho ter cenoura comeu de elas quanto cenouro sobrarar,Nenhuma
vídeo hoje ir resolver probleminha subtração continha,Nenhuma
sobrarar cenoura,Nenhuma
Pedro ficar lápis,Nenhuma
maçãs ficar árvore,Nenhuma
sobrarar real júlia,Nenhuma
olá amiguinho,Nenhuma
entender funcionar,Nenhuma
multiplicar ficar,Nenhuma
multiplicar ficar,Nenhuma
tabuar,Nenhuma
tabuar,Nenhuma
tabuar,Nenhuma
tabuar,Nenhuma
hoje aprender tabuada,Nenhuma
ir último,Nenhuma
truquezinho shorts,Nenhuma
amiguinho,Nenhuma
contar gostar videozinho hoje,Nenhuma
avião árvore astronauta letra,Nenhuma
l leão luva livro,Nenhuma
m macaco menino milho,Nenhuma
n navio ninho never,Nenhuma
ovo ovelha ônibus,Nenhuma
ir aprender letrinha alfabeto palavra começar de ele,Nenhuma
letrinha letra,Nenhuma
letrinha letra b letra b,Nenhuma
letrinha letra c c gente,Nenhuma
vídeo hoje aprender   letra alfabeto várias coisa começar letrinha,Nenhuma
pato pedra pipocar,Nenhuma
vaca vela violão,Nenhuma
Waffle Wifi wafer,Nenhuma
youtube yakisoba yoga letra y,Nenhuma
zebrar zumbi letra z,Nenhuma
casa s,Nenhuma
luz z,Nenhuma
Rosa s,Nenhuma
juiz z,Nenhuma
pena letra n,Nenhuma
palavra s z,Nenhuma
palavrinha x ch,Nenhuma
palavra m n,Nenhuma
vídeo hoje aprender várias palavrinha escrever de ele,Nenhuma
palavrinha chave,Nenhuma
chocolate delícer,Nenhuma
palavrinha xícar,Nenhuma
palavrinha chuva,Nenhuma
ir bloco,Nenhuma
amiguinho,Nenhuma
pentágono nome dar figura geométrico possuir   lado,Nenhuma
humus matéria orgânica depositar solo resultar decomposição animal planta morto subproduto,Nenhuma
combustível fóssil petróleo carvão mineral gás natural chamar fato derivar planta vegetal morto soterrar sólido formar rocha sedimentar,Nenhuma
energia eólico energia renovável gerar força vento,Nenhuma
clorofila pigmento responsável cor encontrar interior cloroplasto abundante planta presente principalmente folha,Nenhuma
quiz conhecimento geral   pergunta ensino fundamental,Nenhuma
vídeo promover conhecimento deixar like inscrevase canal,Nenhuma
souber resposta compartilho comentário,Nenhuma
quiz conhecimento geral pergunta ensino fundamental,Nenhuma
vídeo promover conhecimento deixar like inscrevase canal,Nenhuma
terra água,Nenhuma
gelo,Nenhuma
água,Nenhuma
terra,Nenhuma
mágico oz,Nenhuma
